Organisation Name,NACS Code,Organisation Type,Address1,Address2,Address3,Address4,Address5,PostCode,Telephone Number,NHS.UK users rating,Value  (NHS.UK users rating),Banding Classification  (NHS.UK users rating),Accepting NHS patients by referral only,Value  (Accepting NHS patients by referral only),Banding Classification  (Accepting NHS patients by referral only),Accepting new adult NHS patients,Value  (Accepting new adult NHS patients),Banding Classification  (Accepting new adult NHS patients),Accepting new adult patients entitled to free NHS dental care,Value  (Accepting new adult patients entitled to free NHS dental care),Banding Classification  (Accepting new adult patients entitled to free NHS dental care),Accepting children as new NHS patients,Value  (Accepting children as new NHS patients),Banding Classification  (Accepting children as new NHS patients),Urgent NHS dental appointments,Value  (Urgent NHS dental appointments),Banding Classification  (Urgent NHS dental appointments),Induction loop (Induction loop in place),Car parking (Is there car parking at this organisation?)
Withington Dental Care ,V007660,DEN,240 Mauldeth Road West,Withington,,Manchester,,M20 1BE,Tel: 0161 445 6000,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007660,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,Data not available,yes
"mydentist, Platt Lane, Fallowfield ",V005607,DEN,,306 Platt Lane,Fallowfield,Manchester,,M14 7BZ,Tel: 0161 224 2532,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005607,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Pearl Smile Manchester,V005471,DEN,3 Fog Lane,Didsbury,,Manchester,,M20 6AX,Tel: 0161 445 2503,32 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005471,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
M S Umar Dental Practice,V017690,DEN,2 Hythe Close,Rusholme,,Manchester,,M14 5AT,Tel: 0161 224 8127,41 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V017690,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
Parkfield Dental Practice,V005493,DEN,637 Wilmslow Road,Didsbury,,Manchester,,M20 6DF,Tel: 0161 445 2397,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005493,0,0,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Kingsway Dental Care,V005472,DEN,7 Lane End Road,Burnage,Manchester,,,M19 1WA,Tel: 0161 432 8741,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005472,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
Westpoint Dental Care ,V006422,DEN,160 Slade Lane,Levenshulme,,Manchester,Greater Manchester,M19 2AQ,Tel: 0161 224 3610,27 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006422,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,yes,yes
Birchfields Family Dental Care,V006411,DEN,43 Birchfields Road,Longsight,,Manchester,Greater Manchester,M13 0XQ,Tel: 0161 224 9813,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006411,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,no,yes
Levenshulme Dental Cosmetics,V006401,DEN,773 Stockport Road,,Manchester,Levenshulme,,M19 3DL,Tel: 0161 225 1589,18 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006401,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Rusholme Dental Practice,V005606,DEN,Rusholme Dental Practice,300 Great Western Street,Rusholme,Manchester,Lancashire,M14 4LP,Tel: 0161 226 2548,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005606,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,yes
Broom Lane Dental Practice,V006413,DEN,52 Broom Lane,Levenshulme,,Manchester,,M19 2TG,Tel: 0161 432 4477,12 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006413,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
Longsight Dental Practice ,V007654,DEN,7 Slade Lane,Longsight,Manchester,Manchester,,M13 0QJ,Tel: 0161 541 2920,29 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007654,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,no,no
Family Dental Practice,V006406,DEN,177a Princess Road,Moss Side,,Manchester,,M14 4RL,Tel: 0161 226 8432,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006406,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
Dr I Saleem,V006416,DEN,566 Stockport Road,Manchester,,Lancs,,M12 4JJ,Tel: 0161 225 6944,43 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006416,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
East Road Care Limited,V006400,DEN,73 East Road,Longsight,Manchester,,,M12 5QY,Tel: 0161 224 5875,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006400,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
Heaton Mersey Orthodontic Centre,V003131,DEN,458 Didsbury Road,Heaton Mersey,,Stockport,Cheshire,SK4 3BS,Tel: 0161 947 9900,15 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003131,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
"mydentist, Heaton Moor Road, Stockport ",V003211,DEN,,162 Heaton Moor Road,,Stockport,Cheshire,SK4 4HS,Tel: 0161 432 7400,39 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003211,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
The Heaton Mersey Dental Practice,V003138,DEN,418 Didsbury Road,Stockport,,Cheshire,,SK4 3BY,Tel: 0161 442 6869,223 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003138,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
C Burke & Associates Dental Practice,V003126,DEN,329 Wellington Road North,Stockport,,Cheshire,,SK4 4QG,Tel: 0161 432 4768,55 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003126,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
The Whalley Range Dental Practice,V005601,DEN,132 Withington Road,Whalley Range,,Manchester,,M16 8FB,Tel: 0161 226 9647,11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005601,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Archway Dental Practice,V017545,DEN,Windsor Dental,Denhill House,2 Denhill Road,Manchester,,M15 5NR,Tel: 0161 232 8403,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V017545,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,no,yes
Serenity Dental Spa,V005495,DEN,264 Barlow Moor Road,Chorlton,,Manchester,Lancashire,M21 8HA,Tel: 0161 860 7000,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005495,0,0,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
Parsonage Dental Practice,V017694,DEN,The Parsonage,1B Parsonage Street,Hulme,Manchester,,M15 5WD,Tel: 0161 227 7570,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V017694,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
Clarity Dental Clinic,V006398,DEN,7 Sandy Lane,,Manchester,Chorlton,,M21 8TL,Tel: 0161 881 6560,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006398,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
Brooks Bar Dental,V008576,DEN,176 Chorlton Road,,,Old Trafford,,M16 7WW,Tel: 0161 226 2841,13 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008576,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,no
Chorlton Smile Centre,V005640,DEN,555 Barlow Moor Road,Chorlton,,Manchester,,M21 8AN,Tel: 0161 881 1257,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005640,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,,no
The Vallance Dental Centre,V012073,DEN,The Vallance Health Centre,1st Floor Dental Department,Brunswick Street,Manchester,,M13 9UJ,Tel: 0161 273 5998,79 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012073,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
The Larty Dental Clinic ,V006415,DEN,DENTOLOGY- The Art of Modern Dentistry,563 Barlow Moor Road,Chorlton-cum-Hardy,Manchester,Lancashire,M21 8AE,Tel: 0161 881 3465,13 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006415,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,yes
Greater Manchester Oral Surgery and Restorative Group Ltd,V036629,DEN,Dental Surgery,563 Barlow Moor Road,MANCHESTER,,,M21 8AE,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V036629,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
Wood & Woolfstein,V006412,DEN,452 Barlow Moor Road,Chorlton Cum Hardy,,Manchester,,M21 0BQ,Tel: 0161 881 2110,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006412,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,no
MR MOHAMMED AL-HIMDANI,V049189,DEN,394 Palatine Road,Northenden,Manchester,,,M22 4FZ,,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V049189,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
Ethos Dental Care,V003212,DEN,126 Wellington Road North,Stockport,,Cheshire,,SK4 2LL,Tel: 0161 477 5142,198 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003212,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
151 Dental Ltd,V000631,DEN,151 Dental,151 Ayres Road,Old Trafford,Manchester,Greater Manchester,M16 9WR,Tel: 0161 872 1695,44 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V000631,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,no
Kings Dental Practice,V011533,DEN,Garratt Way,Gorton,,Manchester,,M18 8HE,Tel: 0161 220 8180,32 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V011533,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
"mydentist, Reddish Road, Stockport ",V003255,DEN,,345 Reddish Road,South Reddish,Stockport,Cheshire,SK5 7EN,Tel: 0161 480 7036,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003255,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,yes
Cheadle Heath Dental Practice,V002843,DEN,242 Stockport Road,Stockport,,Cheshire,,SK3 0LX,Tel: 0161 428 3024,14 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002843,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
"mydentist, Gorton Road, Stockport",V003250,DEN,,268 Gorton Road,,Stockport,Cheshire,SK5 6RN,Tel: 01614329600,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003250,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,no
Firswood Dental Practice,V008150,DEN,90-92 Warwick Road South,Firswood,,Manchester,,M16 0HU,Tel: 0161 881 2114,18 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008150,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,false,no,no,yes
Glen Maye Dental Practice ,V005497,DEN,Sale Road,Northenden,,Manchester,,M23 0DF,Tel: 0161 998 5588,60 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005497,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,yes,yes
Northenden House Orthodontics,V017474,DEN,Northenden House,2a Sale Road,,Northenden,Greater Manchester,M23 0DF,Tel: 0161 998 2622,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V017474,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Gorton Dental Practice,V005605,DEN,,165 Chapman Street,Gorton,Manchester,Greater Manchester,M18 8LY,Tel: 0161 223 1888,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005605,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,no
"mydentist, High Street, Cheadle ",V012273,DEN,,19a High Street,,Cheadle,Cheshire,SK8 1AX,Tel: 0161 491 1936,15 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012273,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,no
MR BS GREWAL,V135738,DEN,16 Northenden Road,Gatley,Cheadle,Stockport,,SK8 4DN,,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V135738,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
City Centre Dentists,V252308,DEN,City Centre Dentists,31 Booth Street,Manchester,,,M2 4AF,,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V252308,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
"Total Orthodontics, Stockport",V003101,DEN,99 Edgeley Road,Stockport,Cheshire,Cheshire,,SK3 9NG,Tel: 0161 480 8828,12 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003101,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,no
207 Dental Care,V006182,DEN,Onward Buildings,207 Deansgate,,Manchester,,M3 3NW,Tel: 0161 834 0606,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006182,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,no
Edgeley Dental Practice,V003708,DEN,146 Grenville Street,Edgeley,Stockport,Cheshire,,SK3 9ET,Tel: 0161 480 3083,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003708,,,,false,no,,false,no,,false,no,,false,no,,false,no,no,yes
"mydentist, Stevenson Square, Manchester",V028473,DEN,,43 Lever Street,,Manchester,,M1 1FN,Tel: 01612281865,28 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V028473,,,,false,no,,false,no,,false,no,,false,no,,false,no,yes,no
Wood & Associates Dental Care Ltd,V005393,DEN,673 Manchester Road,Denton,,Manchester,,M34 2NA,Tel: 0161 336 8036,22 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005393,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,no
REVIVE DENTAL CARE LIMITED,V012879,DEN,The Dental Practice,Ancoats Primary Care Centre,Old Mill Street,Ancoats,,M4 6HH,Tel: 0161 274 1655,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012879,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,,
Ocean Dental Implant and Aesthetic Clinic ,V016630,DEN,Boots Store,Second Floor,32 Market Street,Manchester,,M1 1PW,Tel: 0161 660 0200,18 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V016630,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,true,yes,,no
"Bupa Dental Care, Manchester",V019287,DEN,Bupa Dental Care,14 St Ann's Square,City Centre,Manchester,,M2 7HQ,Tel: 0161 834 2627,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V019287,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,yes,no
Churchgate Dental Practice,V010807,DEN,50 Churchgate,Stockport,Cheshire,,,SK1 1YG,Tel: 0161 480 5870,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V010807,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
Foxland Dental Surgery,V003103,DEN,42 Foxland Road,Gatley,,Cheadle,,SK8 4QB,Tel: 0161 491 0022,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003103,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,false,no,no,yes
Manchester DP Ltd,V163123,DEN,Dental Practice,2-4 Exchange Street,Manchester,,,M1 1PX,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V163123,0,0,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,,
Brownley Green Dental Practice,V011486,DEN,Brownley Green Health Centre,Brownley Road,Wythenshawe,Manchester,,M22 4GA,Tel: 0161 209 2702,19 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V011486,,,,false,no,,false,no,,false,no,Children up to the age of 18,true,yes,,false,no,no,no
New Cross Dental Surgery,V007733,DEN,,50-52 Oldham Road,Ancoats,Manchester,Lancashire,M4 5EE,Tel: 0161 236 0458,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007733,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,no,yes
The Dental Team,V008844,DEN,The Dental Team,858 Chester Road,,Stretford,Greater Manchester,M32 0QJ,Tel: 0161 864 3250,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008844,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,no,no
Excel Dental Centre,V012006,DEN,1a Cheadle Road,Cheadle,,Cheshire,,SK8 1HW,Tel: 0161 428 1104,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012006,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Openshaw Dental Practice ,V006201,DEN,1333 Ashton Old Road,Openshaw,,Manchester,,M11 1JT,Tel: 0161 370 2213,3 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006201,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
The Ivy Dental Practice,V003262,DEN,The Ivy Dental Practice,161 Wellington Road South,,Stockport,Cheshire,SK1 3UA,Tel: 0161 480 2913,18 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003262,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,yes
Smile Creator,V008792,DEN,332-334 Norris Road,Sale,,Cheshire,,M33 2UG,Tel: 0161 969 9907,28 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008792,,,Only by referral from a dental practitioner,true,yes,,false,no,,false,no,,false,no,,false,no,no,no
Greater Manchester Dental Alliance Limited,V041655,DEN,Ordsall Health Centre,118 Phoebe St,Ordsall,MANCHESTER,,M5 3PH,,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V041655,0,0,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,
Ravat and Ray Dental Care (Salford),V021227,DEN,Ordsall Health Centre,118 Phoebe Street,Ordsall,Salford,Greater Manchester,M5 3PH,Tel: 0161 872 0606,16 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V021227,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,false,no,yes,yes
Revive Dental Care,V002733,DEN,2 Bexley Square,Salford,,Manchester,,M3 6BZ,Tel: 0161 834 5166,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002733,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,no,no
Mr A Joubert Dental Surgery,V003247,DEN,30 Turncroft Lane,,Cheshire,Stockport,,SK1 4AB,Tel: 0161 480 3822,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003247,,,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,no,yes
"Bupa Dental Care, Sale Moor",V008216,DEN,Bupa Dental Care Sale Moor,116 Northenden Road,Sale,Cheshire,,M33 3HD,Tel: 0161 973 6356,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008216,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,no,yes
The Park House Dental Surgery,V010449,DEN,Brinnington Road,Stockport,,Cheshire,,SK5 8BS,Tel: 0161 494 6447,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V010449,,,,false,no,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,No data supplied by the dental practice,Data not available,question,,true,yes,yes,yes
