id,name,postcode,lat,long,distance,tel,rating,acceptNewAdult,parking,Address1,Address2,Address3,Address4,Address5
V002634,Yorkshire Smiles Ltd,LS9 9ED,53.800256,-1.50308,61.024555621794505,Tel: 0113 2495607,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002634,Adults 18 and over,yes,386 York Road,Leeds,NA,W Yorkshire,NA
V005248,Hurlfield Dental Practice,S12 2SD,53.358413,-1.430371,61.598295654668654,Tel: 0114 239 1906,416 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005248,Adults 18 and over,yes,Hurlfield Dental Practice,49 Hurlfield Road,Manor Top,SHEFFIELD,NA
V007995,Westbourne Dental Practice,CH42 8NA,53.370737,-3.038662,61.62154662784726,Tel: 0151 608 9191,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007995,Adults 18 and over,yes,118 Storeton Road,Birkenhead,NA,Merseyside,NA
V012078,PERFECT SMILE CLINIC,LS8 3ES,53.820578,-1.496567,62.1276154240253,Tel: 0113 2486777,13 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012078,Adults 18 and over,yes,252-254 Easterly Road,Oakwood,NA,Leeds,West Yorkshire
V005257,Manor Park Family Dental Centre,S2 1RA,53.372503,-1.420037,62.24416989131881,Tel: 0114 239 2985,40 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005257,Adults 18 and over,yes,Manor Park Family Dental Centre,1a Motehall Road,Manor Park,Sheffield,NA
V007973,Park Road North Dental Practice,CH41 0DA,53.39691,-3.052414,62.45862160373022,Tel: 0151 652 3032,14 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007973,Adults 18 and over,yes,Dental Surgery,406 Park Road North,NA,Birkenhead,Merseyside
V005467,Cudworth Dental Surgery,S72 8SU,53.577865,-1.416845,62.64171799158899,Tel: 01226 710380,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005467,Adults 18 and over,no,Cudworth Dental Surgery LTD,260 Barnsley Road,Cudworth,Barnsley,South Yorkshire
V011438,"Orliaklis, V.",S9 4LP,53.386172,-1.412349,62.714428158563564,Tel: 0114 244 1731,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V011438,Adults 18 and over,yes,Darnall Dental Clinic,652-654 Staniforth Road,Darnall,Sheffield,South Yorkshire
V002657,Whitecross Dental Care,LS15 0LF,53.796209,-1.46897,63.26983739872669,Tel: 01132600192,9 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002657,Adults 18 and over,yes,Halton Dental Practice,192 Selby Road,NA,Leeds,West Yorkshire
V001886,Dr Altaf Hussain,WF6 2AD,53.699807,-1.419624,64.34263748576018,Tel: 01924 893400,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001886,Adults 18 and over,yes,The High Street Dental Practice,21 High Street,NA,Normanton,West Yorkshire
V013030,"Milne, Spencer & Harris Dental Surgeons LLP",WF6 2AZ,53.700643,-1.419613,64.36094707697876,Tel: 01924 895864,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V013030,Adults 18 and over,yes,Kings Medical Centre,King Edward Street,Normanton,Wakefield,West Yorkshire
V006247,Dental Care,CH64 3RP,53.291424,-3.065406,64.6106737021391,Tel: 0151 336 5555,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006247,Adults 18 and over,no,5 Park Street,Neston,NA,Cheshire,Cheshire
V002646,"mydentist, Crossgates Lane, Crossgates",LS15 7PH,53.812514,-1.455096,64.73243016782828,Tel: 01132648344,18 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002646,Adults 18 and over,yes,Crossgates Dental Practice,130 Cross Gates Lane,NA,Leeds,West Yorkshire
V002652,"mydentist, Manston Lane, Leeds",LS15 8HZ,53.807213,-1.441741,65.50129021930694,Tel: 0113 2641388,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002652,Adults 18 and over,yes,2 Manston Lane,NA,NA,Leeds,West Yorkshire
V005587,Clay Cross Family Dental Centre,S45 9PG,53.168082,-1.422765,65.67409109682211,Tel: 01246 863185,51 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005587,Adults 18 and over,yes,69 Holmgate Road,Clay Cross,Chesterfield,Derbyshire,NA
V021529,Woodhouse Dental Practice,S13 7JL,53.359212,-1.372662,65.93974194812377,Tel: 0114 2692039 (ext. 2692715),11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V021529,Adults 18 and over,no,Woodhouse Dental Practice,15-17 Chapel Street,Woodhouse,Sheffield,South Yorkshire
V007783,Clay Cross Dental,S45 9LS,53.167058,-1.410049,66.60830219564714,Tel: 01246 862075,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007783,Adults 18 and over,yes,87-89 Market Street,Clay Cross,NA,Chesterfield,NA
V011873,"mydentist, Effingham Square, Rotherham",S65 1AP,53.433582,-1.355299,66.79729126578675,Tel: 01709 362496,16 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V011873,Adults 18 and over,yes,NA,3 Effingham Square,NA,Rotherham,South Yorkshire
V005265,High Street Dental Care,S20 5AF,53.324396,-1.361913,67.12631638910332,Tel: 0114 248 4400,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005265,Adults 18 and over,yes,NA,99 High Street,Mosborough,Shefield,NA
V001055,"mydentist, Doncaster Road, Rotherham",S65 1DZ,53.43123,-1.350983,67.1320582705105,Tel: 01709 365174,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001055,Adults 18 and over,yes,NA,4 Doncaster Road,NA,Rotherham,NA
V001887,"Milne, Spencer & Harris Dental Surgeons LLP",WF7 5BA,53.678389,-1.358227,68.44035142618955,Tel: 01977 791754,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001887,Adults 18 and over,no,105 Station Lane,Featherstone,NA,Pontefract,NA
V001896,Armstrong and Haire Ltd,WF10 1JD,53.726796,-1.354065,69.69972944554765,Tel: 01977 552670,16 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001896,Adults 18 and over,yes,38 Bank Street,Castleford,NA,W Yorkshire,NA
V001040,Dalton Dental Care,S65 3ET,53.443641,-1.316484,69.72160619813873,Tel: 01709 855999,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001040,Adults 18 and over,no,Dalton Dental Care,5 Doncastor Road,Dalton,Rotherham,South Yorkshire
V001044,Swinton Dental Practice,S64 8PZ,53.486919,-1.313016,69.97921015128685,Tel: 01709 583166,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001044,Adults 18 and over,no,61a Station Street,Swinton,NA,Mexborough,South Yorkshire
V001038,Anderson and Broadberry Dental Care,S26 4WD,53.362997,-1.317097,70.09897647242757,Tel: 0114 287 2305,11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001038,Adults 18 and over,yes,46 Worksop Road,Swallownest,NA,Sheffield,South Yorkshire
V001893,Jones & Associates,WF8 1QT,53.693033,-1.30535,72.60811039560943,Tel: 01977 702051,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001893,Adults 18 and over,no,Mannington,Southgate,NA,Pontefract,NA
V008471,Somercotes Family Dental Centre,DE55 4LP,53.075691,-1.35937,72.7897693194344,Tel: 01773 609543,56 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008471,Adults 18 and over,yes,NA,350-352 Lower Somercotes,Somercotes,Alfreton,Derbyshire
V001029,Bramley Dental Practice,S66 2SE,53.425533,-1.265681,73.6274092315016,Tel: 01709 700780,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001029,Adults 18 and over,yes,95 Main Street,Bramley,Rotherham,S Yorkshire,South Yorkshire
V003252,Denaby Dental Practice,DN12 4AT,53.488704,-1.251222,74.67740013891431,Tel: 01709 861702,15 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003252,Adults 18 and over,yes,1 Wheatley Street,Denaby Main,Doncaster,South Yorkshire,NA
V001039,Thurcoft Dental Practice,S66 9LP,53.39421,-1.251934,74.80935063912928,Tel: 01709 703544,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001039,Adults 18 and over,yes,24-28 Laughton Road,Thurcroft,Rotherham,South Yorkshire,NA
V011837,White Rose Dental Practice,WF11 8EB,53.708687,-1.255368,76.5808216059118,Tel: 01977 673864,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V011837,Adults 18 and over,yes,White Rose Dental Practice,11b Hill Top,NA,Knottingley,West Yorkshire
V001901,The Hill Top Dental Practice,WF11 8EB,53.708687,-1.255368,76.5808216059118,Tel: 01977 677386,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001901,Adults 18 and over,yes,NA,11a Hill Top,Knottingley,W Yorkshire,NA
V001036,Croft House Dental Surgery,S66 8LH,53.422643,-1.204621,78.27311881759847,Tel: 01709 812370,39 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001036,Adults 18 and over,no,Croft House,High Street,NA,Maltby,NA
V003223,P.B. Robinson & Associates,DN5 9TG,53.536867,-1.146744,82.77024192018358,Tel: 01302 782206,40 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003223,Adults 18 and over,no,NA,325 Bentley Road,NA,Doncaster,South Yorkshire
V003227,P.B. Robinson & Associates,DN5 0AT,53.546091,-1.146788,82.81488137559093,Tel: 01302 874423,14 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003227,Adults 18 and over,no,104 High Street,Bentley,Doncaster,S Yorkshire,NA
V003026,The Doncaster Dental Centre,DN1 1SD,53.52169,-1.137157,83.43187456911245,Tel: 01302 342356,11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003026,Adults 18 and over,no,82-86 St. Sepulchre Gate,Doncaster,NA,S Yorkshire,NA
V001324,"mydentist, Doncaster Road, Langold",S81 9RY,53.379675,-1.118831,84.97988219098544,Tel: 01909730389,14 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001324,Adults 18 and over,yes,NA,Doncaster Road,NA,Langold,Nottinghamshire
V001335,Wright Dental Care,S80 2AS,53.304504,-1.1226,85.33189238703645,Tel: 01909 532255,18 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001335,Adults 18 and over,no,Lyndholme,Newcastle Street,NA,Worksop,NA
V001332,Kaye & Rafferty,S80 2BE,53.304642,-1.121832,85.38813132768202,Tel: 01909 472665,835 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001332,Adults 18 and over,no,'Dungannon',Watson Road,NA,Worksop,Nottinghamshire
