id,name,postcode,distance (km),lat,long,tel,rating,acceptNewAdult,parking,Address1,Address2,Address3,Address4,Address5
V004354,Darton Dental Practice,S75 5HG,54.4641538048404,53.585499,-1.531659,Tel: 01226 387207,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004354,Adults 18 and over,yes,48 Church Street,Darton,NA,Barnsley,NA
V010953,Thompson & Thomas,S6 1TT,55.100197675226100,53.419002,-1.515194,Tel: 0114 2313454,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V010953,Adults 18 and over,yes,Fairlawns Medical Centre,621 Middlewood Road,Hillsborough,SHEFFIELD,South Yorkshire
V002987,Advance Dental Care,LS16 5BG,55.59690295880540,53.832909,-1.604665,Tel: 0113 2751114,12 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002987,Adults 18 and over,yes,NA,188 Butcher Hill,NA,Leeds,West Yorkshire
V005404,Collins & Ball Dental Practice,S11 9PF,56.00969979492960,53.358253,-1.509767,Tel: 0114 266 2212,9 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005404,Adults 18 and over,no,NA,60 Ecclesall Road South,NA,SHEFFIELD,NA
V005415,School Road Dental Practice,S10 1GQ,56.08784011441160,53.383026,-1.505438,Tel: 0114 2661335,9 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005415,Adults 18 and over,NA,NA,257 School Road,NA,"Crookes, Sheffield",NA
V005324,Taptonville House Dental Practice,S10 5BQ,56.25427124076060,53.377887,-1.503844,Tel: 0114 3990888,1215 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005324,Adults 18 and over,no,NA,1 Taptonville Road,Broomhill,SHEFFIELD,NA
V005381,LWT Dental Care,S11 8TG,56.34370345762910,53.36684,-1.504092,Tel: 0114 266 2853,14 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005381,Adults 18 and over,yes,NA,719 Ecclesall Road,Ecclesall,SHEFFIELD,South Yorkshire
V005316,"mydentist, South Road, Walkley",S6 3TA,56.394955062531,53.392577,-1.500335,Tel: 01142335332,15 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005316,Adults 18 and over,no,NA,263-265 South Road,Walkley,Sheffield,South Yorkshire
V007268,Hillsborough Family Dental Centre,S6 2SA,56.69029692683570,53.399165000000000,-1.495791,Tel: 0114 234 4810,67 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007268,Adults 18 and over,yes,Hillsborough Family Dental Centre,1 Victor Street,Hillsborough,SHEFFIELD,NA
V007487,"mydentist, Stanley Road, Liverpool",L20 3EN,57.09829255834950,53.449446,-2.989625,Tel: 01519221652,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007487,Adults 18 and over,no,NA,200 Stanley Road,NA,Bootle,Merseyside
V002973,Headingley Dental Care,LS6 1EG,57.181015698193500,53.812279,-1.569685,Tel: 0113 2785630,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002973,Adults 18 and over,yes,Headingley Dental Care,58 Brudenell Road,NA,Leeds,NA
V005326,Thompson & Thomas,S6 2UB,57.201600416086800,53.396171,-1.489315,Tel: 0114 234 3346,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005326,Adults 18 and over,no,Thompson & Thomas,76 Langsett Road,Hillsborough,SHEFFIELD,NA
V004990,Churchfield Dental Centre,S75 2AE,57.227932551978900,53.556704,-1.490827,Tel: 01226 771471,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004990,Adults 18 and over,yes,1 Victoria Crescent West,Barnsley,NA,S Yorkshire,South Yorkshire
V005121,Yorkshire Smiles Limited,S70 2BB,57.65606544148500,53.55704,-1.485194,Tel: 01226 282579,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005121,Adults 18 and over,yes,Victoria House,Victoria Road,NA,Barnsley,NA
V005440,DENTECARE (BARNSLEY) Ltd,S70 1AW,57.71406232107430,53.551425,-1.483782,Tel: 01226 284153,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005440,Adults 18 and over,NA,NA,18 Pitt Street,NA,Barnsley,NA
V029968,"mydentist, Peel Street, Barnsley",S70 2RA,57.77923897954400,53.552536,-1.4830430000000000,Tel: 01226 244 570,27 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V029968,Adults 18 and over,no,23-27,Peel Street,Barnsley,South Yorkshire,NA
V005421,765 Dental Care,S7 2BG,57.86360226820930,53.353505,-1.485814,Tel: 01142588549,14 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005421,Adults 18 and over,NA,NA,765 Abbeydale Road,NA,Sheffield,NA
V004357,"Gibbons, P R",S70 1RY,58.031283053539300,53.551083,-1.479545,Tel: 01226 282954,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004357,Adults 18 and over,yes,2 Hayes Croft,Barnsley,NA,S Yorkshire,NA
V011509,"mydentist, Shalesmoor, Sheffield",S3 8UL,58.27133593837390,53.388509,-1.475934,Tel: 0114 279 5451,20 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V011509,Adults 18 and over,no,NA,306-310 Shalesmoor,NA,Sheffield,South Yorkshire
V005406,"mydentist, London Road, Sheffield",S2 4LW,58.42337848232820,53.368178,-1.476304,Tel: 01142550444,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005406,Adults 18 and over,yes,NA,240 - 242 London Road,Highfield,Sheffield,South Yorkshire
V005061,Queens Road Dental Care,S71 1AN,58.506030523663600,53.553204,-1.473495,Tel: 01226 282723,No ratings yet Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005061,Adults 18 and over,yes,27 Queens Road,Barnsley,NA,S Yorkshire,NA
V000049,Abbeydale Road Family Dental Centre,S7 1FD,58.54350358153340,53.365045,-1.475125,Tel: 0114 255 4433,70 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V000049,Adults 18 and over,no,Abbeydale Road Family Dental Centre,4 - 6 Abbeydale Road,Highfields,SHEFFIELD,Yorkshire
V004348,Oaksmere Dental Surgery,S70 1TS,58.5802070063578,53.548596,-1.472013,Tel: 01226 207444,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004348,Adults 18 and over,yes,99 Doncaster Road,Barnsley,NA,S Yorkshire,NA
V006434,Fern Cottage Dental Practice,S74 0PB,59.03165416031880,53.497885,-1.462407,Tel: 01226 742304,13 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006434,Adults 18 and over,yes,28 Hoyland Road,Hoyland,NA,Barnsley,NA
V013003,"mydentist, Skinner Lane, Leeds",LS7 1BB,59.46576428417290,53.803443,-1.531775,Tel: 0113 2449900,25 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V013003,Adults 18 and over,no,Burmantofts Dental,Unit 7- 8 Skinner Lane,20:20 House,Leeds,West Yorkshire
V020132,Devonshire Park Dental Centre,CH42 7LX,60.27997892624980,53.376021,-3.026389,Tel: 0151 643 8433,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V020132,Adults 18 and over,yes,Devonshire Park Dental Centre,62 Greenway Road,NA,Birkenhead,NA
V004847,Genesis Dentalcare,S70 3PW,60.64379153746020,53.546171,-1.444472,Tel: 01226 413090,881 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V004847,Adults 18 and over,yes,Lynton House - 317 Doncaster Road,Stairfoot,Barnsley,South Yorkshire,NA
V020282,Hoyland Family Dental Centre,S74 9AU,60.84255027809200,53.499564,-1.438627,Tel: 01226 748404,63 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V020282,Adults 18 and over,yes,Hoyland Family Dental Centre,17 Milton Road,Hoyland,Barnsley,NA
V005439,"mydentist, Shiregreen Lane, Sheffield",S5 6AB,61.13887042223010,53.418581,-1.435601,Tel: 01142561511,18 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005439,Adults 18 and over,yes,NA,73-75 Shiregreen Lane,Wincobank,Sheffield,South Yorkshire
V003010,Roundhay Road Dental Practice,LS8 4HT,61.15864545550690,53.819293,-1.514677,Tel: 0113 2490795,20 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003010,Adults 18 and over,yes,Roundhay Road Dental Practice,313 Roundhay Road,NA,Leeds,NA
V007995,Westbourne Dental Practice,CH42 8NA,61.25360756215100,53.370737,-3.038662,Tel: 0151 608 9191,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007995,Adults 18 and over,yes,118 Storeton Road,Birkenhead,NA,Merseyside,NA
V002634,Yorkshire Smiles Ltd,LS9 9ED,61.34264428774670,53.800256,-1.50308,Tel: 0113 2495607,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002634,Adults 18 and over,yes,386 York Road,Leeds,NA,W Yorkshire,NA
V005248,Hurlfield Dental Practice,S12 2SD,61.981660116975400,53.358413,-1.430371,Tel: 0114 239 1906,416 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005248,Adults 18 and over,yes,Hurlfield Dental Practice,49 Hurlfield Road,Manor Top,SHEFFIELD,NA
V007973,Park Road North Dental Practice,CH41 0DA,62.08723793320370,53.39691,-3.052414,Tel: 0151 652 3032,14 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007973,Adults 18 and over,yes,Dental Surgery,406 Park Road North,NA,Birkenhead,Merseyside
V012078,PERFECT SMILE CLINIC,LS8 3ES,62.44151010463590,53.820578,-1.496567,Tel: 0113 2486777,13 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V012078,Adults 18 and over,yes,252-254 Easterly Road,Oakwood,NA,Leeds,West Yorkshire
V005257,Manor Park Family Dental Centre,S2 1RA,62.6272365536355,53.372503,-1.420037,Tel: 0114 239 2985,40 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005257,Adults 18 and over,yes,Manor Park Family Dental Centre,1a Motehall Road,Manor Park,Sheffield,NA
V005467,Cudworth Dental Surgery,S72 8SU,63.008069146222100,53.577865,-1.416845,Tel: 01226 710380,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005467,Adults 18 and over,no,Cudworth Dental Surgery LTD,260 Barnsley Road,Cudworth,Barnsley,South Yorkshire
V011438,"Orliaklis, V.",S9 4LP,63.09709519828460,53.386172,-1.412349,Tel: 0114 244 1731,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V011438,Adults 18 and over,yes,Darnall Dental Clinic,652-654 Staniforth Road,Darnall,Sheffield,South Yorkshire
V002657,Whitecross Dental Care,LS15 0LF,63.59242254456430,53.796209,-1.46897,Tel: 01132600192,9 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002657,Adults 18 and over,yes,Halton Dental Practice,192 Selby Road,NA,Leeds,West Yorkshire
V006247,Dental Care,CH64 3RP,64.25385465829010,53.291424,-3.065406,Tel: 0151 336 5555,2 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V006247,Adults 18 and over,no,5 Park Street,Neston,NA,Cheshire,Cheshire
V001886,Dr Altaf Hussain,WF6 2AD,64.6890107083566,53.699807,-1.419624,Tel: 01924 893400,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001886,Adults 18 and over,yes,The High Street Dental Practice,21 High Street,NA,Normanton,West Yorkshire
V013030,"Milne, Spencer & Harris Dental Surgeons LLP",WF6 2AZ,64.70716471597920,53.700643,-1.419613,Tel: 01924 895864,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V013030,Adults 18 and over,yes,Kings Medical Centre,King Edward Street,Normanton,Wakefield,West Yorkshire
V002646,"mydentist, Crossgates Lane, Crossgates",LS15 7PH,65.05268187089020,53.812514,-1.455096,Tel: 01132648344,18 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002646,Adults 18 and over,yes,Crossgates Dental Practice,130 Cross Gates Lane,NA,Leeds,West Yorkshire
V002652,"mydentist, Manston Lane, Leeds",LS15 8HZ,65.82402308794630,53.807213,-1.441741,Tel: 0113 2641388,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V002652,Adults 18 and over,yes,2 Manston Lane,NA,NA,Leeds,West Yorkshire
V005587,Clay Cross Family Dental Centre,S45 9PG,66.05104103171370,53.168082,-1.422765,Tel: 01246 863185,51 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005587,Adults 18 and over,yes,69 Holmgate Road,Clay Cross,Chesterfield,Derbyshire,NA
V021529,Woodhouse Dental Practice,S13 7JL,66.3229669475122,53.359212,-1.372662,Tel: 0114 2692039 (ext. 2692715),11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V021529,Adults 18 and over,no,Woodhouse Dental Practice,15-17 Chapel Street,Woodhouse,Sheffield,South Yorkshire
V007783,Clay Cross Dental,S45 9LS,66.98552604866470,53.167058,-1.410049,Tel: 01246 862075,6 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V007783,Adults 18 and over,yes,87-89 Market Street,Clay Cross,NA,Chesterfield,NA
V011873,"mydentist, Effingham Square, Rotherham",S65 1AP,67.17770229225970,53.433582,-1.355299,Tel: 01709 362496,16 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V011873,Adults 18 and over,yes,NA,3 Effingham Square,NA,Rotherham,South Yorkshire
V005265,High Street Dental Care,S20 5AF,67.50987610356670,53.324396,-1.361913,Tel: 0114 248 4400,1 rating Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V005265,Adults 18 and over,yes,NA,99 High Street,Mosborough,Shefield,NA
V001055,"mydentist, Doncaster Road, Rotherham",S65 1DZ,67.51258919206730,53.43123,-1.350983,Tel: 01709 365174,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001055,Adults 18 and over,yes,NA,4 Doncaster Road,NA,Rotherham,NA
V001887,"Milne, Spencer & Harris Dental Surgeons LLP",WF7 5BA,68.7932546117784,53.678389,-1.358227,Tel: 01977 791754,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001887,Adults 18 and over,no,105 Station Lane,Featherstone,NA,Pontefract,NA
V001896,Armstrong and Haire Ltd,WF10 1JD,70.0446550735434,53.726796,-1.354065,Tel: 01977 552670,16 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001896,Adults 18 and over,yes,38 Bank Street,Castleford,NA,W Yorkshire,NA
V001040,Dalton Dental Care,S65 3ET,70.10137171530100,53.443641,-1.316484,Tel: 01709 855999,10 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001040,Adults 18 and over,no,Dalton Dental Care,5 Doncastor Road,Dalton,Rotherham,South Yorkshire
V001044,Swinton Dental Practice,S64 8PZ,70.3560284065412,53.486919,-1.313016,Tel: 01709 583166,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001044,Adults 18 and over,no,61a Station Street,Swinton,NA,Mexborough,South Yorkshire
V001038,Anderson and Broadberry Dental Care,S26 4WD,70.48199027243430,53.362997,-1.317097,Tel: 0114 287 2305,11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001038,Adults 18 and over,yes,46 Worksop Road,Swallownest,NA,Sheffield,South Yorkshire
V001893,Jones & Associates,WF8 1QT,72.96071823307940,53.693033,-1.30535,Tel: 01977 702051,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001893,Adults 18 and over,no,Mannington,Southgate,NA,Pontefract,NA
V008471,Somercotes Family Dental Centre,DE55 4LP,73.16107216105010,53.075691,-1.35937,Tel: 01773 609543,56 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V008471,Adults 18 and over,yes,NA,350-352 Lower Somercotes,Somercotes,Alfreton,Derbyshire
V001029,Bramley Dental Practice,S66 2SE,74.00804892357430,53.425533,-1.265681,Tel: 01709 700780,7 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001029,Adults 18 and over,yes,95 Main Street,Bramley,Rotherham,S Yorkshire,South Yorkshire
V003252,Denaby Dental Practice,DN12 4AT,75.05418386116200,53.488704,-1.251222,Tel: 01709 861702,15 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003252,Adults 18 and over,yes,1 Wheatley Street,Denaby Main,Doncaster,South Yorkshire,NA
V001039,Thurcoft Dental Practice,S66 9LP,75.19127672419980,53.39421,-1.251934,Tel: 01709 703544,5 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001039,Adults 18 and over,yes,24-28 Laughton Road,Thurcroft,Rotherham,South Yorkshire,NA
V011837,White Rose Dental Practice,WF11 8EB,76.93291408170570,53.708687,-1.255368,Tel: 01977 673864,4 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V011837,Adults 18 and over,yes,White Rose Dental Practice,11b Hill Top,NA,Knottingley,West Yorkshire
V001901,The Hill Top Dental Practice,WF11 8EB,76.93291408170570,53.708687,-1.255368,Tel: 01977 677386,8 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001901,Adults 18 and over,yes,NA,11a Hill Top,Knottingley,W Yorkshire,NA
V001036,Croft House Dental Surgery,S66 8LH,78.65377035111960,53.422643,-1.204621,Tel: 01709 812370,39 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001036,Adults 18 and over,no,Croft House,High Street,NA,Maltby,NA
V003223,P.B. Robinson & Associates,DN5 9TG,83.14367427395610,53.536867,-1.146744,Tel: 01302 782206,40 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003223,Adults 18 and over,no,NA,325 Bentley Road,NA,Doncaster,South Yorkshire
V003227,P.B. Robinson & Associates,DN5 0AT,83.18756207916210,53.546091,-1.146788,Tel: 01302 874423,14 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003227,Adults 18 and over,no,104 High Street,Bentley,Doncaster,S Yorkshire,NA
V003026,The Doncaster Dental Centre,DN1 1SD,83.8065227952682,53.52169,-1.137157,Tel: 01302 342356,11 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V003026,Adults 18 and over,no,82-86 St. Sepulchre Gate,Doncaster,NA,S Yorkshire,NA
V001324,"mydentist, Doncaster Road, Langold",S81 9RY,85.36195132006950,53.379675,-1.118831,Tel: 01909730389,14 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001324,Adults 18 and over,yes,NA,Doncaster Road,NA,Langold,Nottinghamshire
V001335,Wright Dental Care,S80 2AS,85.71536821655870,53.304504,-1.1226,Tel: 01909 532255,18 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001335,Adults 18 and over,no,Lyndholme,Newcastle Street,NA,Worksop,NA
V001332,Kaye & Rafferty,S80 2BE,85.77160534280040,53.304642,-1.121832,Tel: 01909 472665,835 ratings Rate it yourself - /Services/dentists/LeaveReview/DefaultView.aspx?id=V001332,Adults 18 and over,no,'Dungannon',Watson Road,NA,Worksop,Nottinghamshire
